同义词 Synonymes,那达夫·拉皮德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
地久天长,王小帅,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
外出偷马 Ut og stjæle hester,汉斯·皮特·莫朗,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
"我离家了，但…… Ich war zuhause, aber…",安格拉·夏娜莱克,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
陌生人的善意 The Kindness of Strangers,罗勒·莎菲,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
金手套 Der Goldene Handschuh,法提赫·阿金,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
感谢上帝 Grâce à Dieu,弗朗索瓦·欧容,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
琼斯先生 Mr. Jones,阿格涅丝卡·霍兰,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
伊莉莎与玛瑟拉 Elisa y Marcela,伊莎贝尔·科赛特,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
鬼镇事件簿 Répertoire des villes disparues,德尼·科泰,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
脚下的土地 Der Boden unter den Füßen,玛丽·克鲁泽,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
三姐妹的故事 Kız Kardeşler,埃敏·阿尔柏,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
"上帝存在，她叫佩特鲁尼娅 Господ постои, името ѝ е Петрунија",缇奥娜·斯特鲁加·米泰夫斯卡,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
恐龙蛋 Öndög,王全安,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
少年黑手党 La Paranza dei Bambini,克劳迪欧·吉瓦内斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
系统破坏者 Systemsprenger,诺拉·芬沙伊德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
本影 Umbra,弗洛里安·菲舍尔,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
当我们谈论树的时候 Talking About Trees,弗朗索瓦·欧容,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
感谢上帝 Grâce à Dieu,我离家了，但……,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
安格拉·夏娜莱克 Angela Schanelec,地久天长,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
王景春 Jingchun Wang,地久天长,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
咏梅 Mei Yong,克劳迪欧·吉瓦内斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
少年黑手党 La Paranza dei Bambini,汉斯·皮特·莫朗,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
外出偷马 Ut og stjæle hester,诺拉·芬沙伊德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
系统破坏者 Systemsprenger,穆罕默德·阿基夫·布尤卡塔莱,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
蓝男孩酒吧 Blue Boy,那达夫·拉皮德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
奥雷 Oray,费德里科·邦迪,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
夏洛特·兰普林 Charlotte Rampling,圣地亚哥·洛萨,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
桑德拉·舒尔伯格 Sandra Schulberg,阿莱汉德罗·朗德思,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
维兰德•施佩克 Wieland Speck,那达夫·拉皮德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
阿涅斯·瓦尔达 Agnès Varda,杰罗·布斯塔曼特,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
埃尔曼·舍奇 Herrmann Zschoche,亚历山大·戈尔奇林,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
同义词 Synonymes,伊莎贝尔·科赛特,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
达芙妮 Dafne,金宝拉,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
死者的孩子 Die Kinder der Toten,丹尼尔·辉,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
绿色星球简史 Breve historia del planeta verde,丽玛·达斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
猴子 Monos,玛丽·克鲁泽,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
同义词 Synonymes,马特奥·本迪斯基,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
震荡 Temblores,阿曼多·普拉查,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
酸世代 Кислота,珍妮弗·里德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
伊莉莎与玛瑟拉 Elisa y Marcela,安德鲁·安,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
蜂鸟 벌새,西拉斯·楚梅尔卡斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
恶魔们 Demons,卡洛斯·康塞桑,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
布尔比尔能唱歌 Bulbul Can Sing,相梓,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
脚下的土地 Der Boden unter den Füßen,马吕斯·奥尔泰纳努,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
家庭成员 Los miembros de la familia,Laura Amelia Guzmán,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
葛丽泰 Greta,Israel Cárdenas,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
刺肤 Knives and Skin,阿黛尔·图利斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
车道 Driveways,安娜卡特林·亨德尔,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
马尾藻海的奇迹 Το Θαύμα της Θάλασσας των Σαργασσών,利莫昂·杰里米·摩塞,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
今天或者明天 Heute oder morgen,王丽娜,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
美翻了 So Pretty,热纳维耶芙·杜鲁德·迪赛尔斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
蛇夫座 Serpentário,拉斯姆斯·A·西韦特森,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
再见 南屏晚钟,金泰勇,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
怪物们 Monștri.,安德鲁·安,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
圣兽 La fiera y la fiesta,妮娜·韦斯曼,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
勒莫贝尔 Lemebel,雅诺·波德玛,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
坑 Die Grube,海基·埃尼茨,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
诺瓦利斯的蓝玫瑰 A Rosa Azul de Novalis,塞尔玛·韦勒嫩,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
错误的信仰 False Belief,白雪,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
正常的 Normal,金宝拉,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
搜寻伊娃 Searching Eva,丽玛·达斯,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
美与瞬间 Schönheit & Vergänglichkeit,托尼斯拉夫·赫里斯托夫,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
简单的爱 Easy love,长久允,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
"Mother, I Am Suffocating. This Is My Last Film About You.",萨姆·德容,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
熵 Entropia,珍妮弗·里德,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
尤丽娅与朱丽叶 Yulia & Juliet,凯思琳·赫博恩,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
梅尔先生 Lidérc úr,金宝拉,2019,金熊奖 Golden Berlin Bear ( Goldener Bär )
