守夜 Jamais de la vie,皮埃尔·若利韦,2015,金爵奖 Golden Goblet Award
铁拳 Southpaw,安东尼·福奎阿,2015,金爵奖 Golden Goblet Award
烈日灼心,曹保平,2015,金爵奖 Golden Goblet Award
中暑 Солнечный удар,尼基塔·米哈尔科夫,2015,金爵奖 Golden Goblet Award
无赖汉 무뢰한,吴胜旭,2015,金爵奖 Golden Goblet Award
对风说爱你 風中家族,王童,2015,金爵奖 Golden Goblet Award
蛋糕 Cake,丹尼尔·巴尔兹,2015,金爵奖 Golden Goblet Award
岸边之旅 岸辺の旅,黑泽清,2015,金爵奖 Golden Goblet Award
长寿商会 장수상회,姜帝圭,2015,金爵奖 Golden Goblet Award
1980年代的爱情,霍建起,2015,金爵奖 Golden Goblet Award
全权委托 Carte Blanche, 亚采克·卢森斯基,2015,金爵奖 Golden Goblet Award
助产士 Kätilö,安提·乔金恩,2015,金爵奖 Golden Goblet Award
华沙女公爵 La duchesse de Varsovie,Joseph Morder,2015,金爵奖 Golden Goblet Award
意外的真相 جامهدران,Hamidreza Ghotbi,2015,金爵奖 Golden Goblet Award
