狼群 The Wolfpack,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
捡到归我 Finders Keepers,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
"三分半钟，十颗子弹 3½ Minutes, Ten Bullets",Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
成为罗伯特埃维尔·沃尔 Being Evel,丹尼尔·扬格,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
政论双雄 Best of Enemies,罗伯特·戈登,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
叫我幸运 Call Me Lucky,博卡·格德斯维特,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
贩毒之地 Cartel Land,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
辣妞征集 Hot Girls Wanted,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
攀登梅鲁峰 Meru,金国威,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
反恐卧底行动 (T)ERROR,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
欢迎来利斯 Welcome to Leith,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
美国西部 Western,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
如何在俄亥俄州跳舞 How to Dance in Ohio,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
黄金之城 City of Gold,Laura Gabbert,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
拉里·克莱默的爱和愤怒 Larry Kramer in Love and Anger,Unkown,2015,纪录片 Documentary,评审团大奖 Grand Jury Prize
我和厄尔以及将死的女孩 Me and Earl and the Dying Girl,阿方索·戈麦斯-雷洪,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
斯坦福监狱实验 The Stanford Prison Experiment,凯尔·帕特里克·奥瓦内兹,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
撒迦利亚 Z for Zachariah,克雷格·卓贝,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
少女日记 The Diary of a Teenage Girl,玛丽埃尔·海勒,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
"宾夕法尼亚的斯德哥尔摩 Stockholm, Pennsylvania",Unkown,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
通宵 The Overnight,帕特里克·布莱斯,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
微笑回应 I Smile Back,Unkown,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
铜牌巨星 The Bronze,布莱恩·巴克利,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
结果 Results,安德鲁·布加尔斯基,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
糟糕的兄弟情 The D Train,贾拉德·保罗,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
优越 Advantageous,詹妮弗·彭,2015,剧情片 Dramatic,评审团大奖 Grand Jury Prize
