One Child Nation,王男栿,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
正合时宜 Always in Season,Jacqueline Olive,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
美国工厂 American Factory,史蒂文·博格纳尔,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
阿波罗11号 Apollo 11,托德·道格拉斯·米勒,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
大卫·克罗斯比：请以我的名字记住我 David Crosby: Remember My Name,Unkown,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
撒旦万岁？ Hail Satan?,潘妮·琳恩,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
下巴 Jawline,Liza Mandelup,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
登堂入会 Knock Down the House,雷切尔·利尔斯,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
午夜急救之家 Midnight Family,卢克·洛伦岑,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
迈克·华莱士在此 Mike Wallace Is Here,Avi Belkin ,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
无声的月光奏鸣曲 Moonlight Sonata: Deafness in Three Movements,伊琳·泰勒·布罗德斯基,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
帕霍基 Pahokee,Unkown,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
保虎行动 Taken by the Tiger,罗斯·考夫曼,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
神奇乔纳森的纪录片 The Amazing Johnathan Documentary,本杰明·伯曼,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
我们的罗伊·科恩哪儿去了？ Where's My Roy Cohn?,马特·蒂瑙尔,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
精神病院 Bedlam,Kenneth Paul Rosenberg,2019,纪录片 Documentary,评审团大奖 Grand Jury Prize
宽宥 Clemency,池娜叶·楚库,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
卢斯 Luce,朱利叶斯·约拿,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
宝贝男孩 Honey Boy,阿尔玛·哈勒,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
分享 Share,皮帕·比安科,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
土生子 Native Son,拉希德·约翰逊,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
旧金山的最后一个黑人 The Last Black Man in San Francisco,乔·塔尔博,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
哈拉 Hala,明哈尔·贝格,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
她的马拉松 Brittany Runs a Marathon,保罗·唐斯·卡莱佐,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
超级青春期 Big Time Adolescence,杰森·奥利,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
后知后觉 Before You Know It,汉娜·珀尔·厄特,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
别告诉她 The Farewell,王子逸,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
追随者 Them That Follow,Dan Madison Savage,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
想象级 Imaginary Order,黛博拉·艾森斯塔,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
紫色女郎 Ms. Purple,全知泰,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
星之来客 To The Stars,玛莎·斯蒂芬斯,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
心琴调音师 The Sound of Silence,迈克尔·泰布斯基,2019,剧情片 Dramatic,评审团大奖 Grand Jury Prize
纪念品 The Souvenir,乔安娜·霍格,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
猴子 Monos,阿莱汉德罗·朗德思,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
朱迪与潘趣 Judy and Punch,米拉·福尔克斯,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
超神 Divino Amor,加布里埃尔·马斯卡罗,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
红心女王 Dronningen,梅尔·图琪,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
这不是柏林 Esto no es Berlín,卡洛斯·萨马,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
污秽之神 Dirty God,莎莎·波拉克,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
美好的一天结束 Słodki koniec dnia,亚采克·博尔丘赫,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
诡异童谣 Koko-di Koko-da,约翰尼斯·尼霍姆,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
最后一棵树 The Last Tree,肖拉·阿穆,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
鲨机年华 Los tiburones,露西亚·加里波第,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
我们是小僵尸 ウィーアーリトルゾンビーズ,长久允,2019,世界电影单元剧情片 World Cinema Dramatic,评审团大奖 Grand Jury Prize
蜂蜜之地 Медена земја,卢博·斯特法诺夫,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
民主的边缘 Democracia em Vertigem,佩特拉·科斯塔,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
玩火的男人 Mannen som lekte med elden,亨里克·格奥尔基松,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
魔鬼辩护人 Advocate,瑞秋·利·琼斯,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
她的V力人生 Veeran maaginen elämä,托尼斯拉夫·赫里斯托夫,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
哈马舍尔德悬案 Cold Case Hammarskjöld,麦斯·布鲁格,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
我母亲的消失 Storia di B. - La scomparsa di mia madre,贝尼安米·巴雷斯,2019,世界电影单元纪录片 World Cinema Documentary,评审团大奖 Grand Jury Prize
